date,setzen,hoch,riemen
2018:07:03,13:08:20,13:11:05,0
2018:07:03,13:12:30,13:17:40,0
2018:07:03,13:30:30,13:36:30,1
2018:07:03,13:40:45,13:46:40,0
2018:07:03,13:59:20,14:11:20,0
2018:07:03,15:24:10,15:35:55,0
2018:07:03,15:40:50,15:46:35,0
2018:07:03,15:52:35,16:01:00,0
2018:07:03,16:41:55,16:45:30,0
2018:07:03,16:50:20,17:01:50,0
2018:07:03,17:05:20,17:17:45,0
2018:07:03,17:39:30,17:53:30,0
2018:07:04,13:04:20,13:17:30,0
2018:07:04,13:31:00,13:38:25,1
2018:07:04,13:38:25,13:41:50,0
2018:07:04,14:51:10,14:53:40,1
2018:07:04,14:53:40,14:59:40,0
2018:07:04,15:15:15,15:16:45,1
2018:07:04,15:16:45,15:19:50,0
2018:07:04,15:19:50,15:20:50,1
2018:07:04,16:44:00,16:47:20,0
2018:07:04,16:57:15,16:59:20,0
2018:07:05,12:44:40,12:49:15,0
2018:07:05,13:08:40,13:09:45,0
2018:07:05,13:17:05,13:20:15,0
2018:07:05,15:21:00,15:23:20,0
2018:07:06,13:39:40,13:44:30,1
2018:07:06,13:44:30,13:55:55,0
2018:07:06,14:11:25,14:17:40,0
2018:07:06,15:26:35,15:33:50,1
2018:07:06,15:34:50,15:41:20,0
2018:07:06,16:36:15,16:48:00,0
2018:07:06,17:09:15,17:18:00,0
